date,tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/03/2014,"3IN.L,888.L,ASL.L,ATST.L,ASHM.L,AVV.L,BNKR.L,BHMG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BRWM.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CEY.L,CTY.L,CBG.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DPH.L,DLN.L,DPLM.L,DLG.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FXPO.L,FEV.L,FSV.L,FGP.L,FRCL.L,GFRD.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,HICL.L,HFD.L,HAS.L,HRI.L,HIK.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IPO.L,INCH.L,ISAT.L,IHP.L,INPP.L,INTU.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JUP.L,KIE.L,LRE.L,LWDB.L,LMP.L,EMG.L,MARS.L,MRC.L,MRCH.L,MERL.L,MCRO.L,MLC.L,MAB.L,MONY.L,MNKS.L,MGAM.L,MUT.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OXIG.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPT.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,BBOX.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WTAN.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/06/2014,"3IN.L,ASL.L,ATST.L,AO.L,ASHM.L,AVV.L,BNKR.L,BHMG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BRWM.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CEY.L,CINE.L,CTY.L,CBG.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DPH.L,DLN.L,DPLM.L,DLG.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FXPO.L,FEV.L,FSV.L,FGP.L,FRCL.L,GFRD.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,HICL.L,HFD.L,HAS.L,HIK.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IPO.L,INCH.L,ISAT.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JUP.L,KIE.L,LRE.L,LWDB.L,LMP.L,EMG.L,MARS.L,MRC.L,MERL.L,MCRO.L,MLC.L,MAB.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OXIG.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPT.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WMH.L,WTAN.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2014,"3IN.L,ASL.L,ATST.L,AO.L,ASHM.L,AVV.L,BNKR.L,BHMG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BRWM.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CBG.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DPH.L,DLN.L,DPLM.L,DLG.L,DC.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FXPO.L,FEV.L,FSV.L,FGP.L,FRCL.L,GFRD.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,HICL.L,HFD.L,HAS.L,HIK.L,HSX.L,HOC.L,HSV.L,HWDN.L,HTG.L,IGG.L,IPO.L,INCH.L,ISAT.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JUP.L,KIE.L,LRE.L,LWDB.L,LMP.L,EMG.L,MARS.L,MRC.L,MERL.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OXIG.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPI.L,SPT.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WMH.L,WTAN.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/2014,"3IN.L,ASL.L,ACA.L,ATST.L,AO.L,ASHM.L,AVV.L,BNKR.L,BHMG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BRWM.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CBG.L,CLI.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DPLM.L,DLG.L,DC.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGP.L,FRCL.L,GFRD.L,GCP.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HFD.L,HAS.L,HIK.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IMI.L,IPO.L,INCH.L,ISAT.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JUP.L,KIE.L,LRE.L,LWDB.L,LMP.L,EMG.L,MARS.L,MRC.L,MERL.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OXIG.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PFC.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPI.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WMH.L,WTAN.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/03/2015,"3IN.L,ASL.L,ACA.L,ATST.L,AO.L,ASHM.L,AVV.L,BNKR.L,BHMG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BRWM.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CBG.L,CLI.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DPLM.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGP.L,FRCL.L,GFRD.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HFD.L,HAS.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IMI.L,IPO.L,INCH.L,INDV.L,ISAT.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JUP.L,KAZ.L,KIE.L,LRE.L,LWDB.L,LMP.L,EMG.L,MARS.L,MRC.L,MERL.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PFC.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPI.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TLW.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WMH.L,WTAN.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/06/2015,"3IN.L,ASL.L,ACA.L,AGK.L,ATST.L,AO.L,ASHM.L,AUTO.L,AVV.L,BNKR.L,BHMG.L,BYG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CKN.L,CBG.L,CLI.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DPLM.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGT.L,FGP.L,FRCL.L,GFRD.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HFD.L,HAS.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IMI.L,IPO.L,INCH.L,INDV.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JLG.L,JUP.L,KAZ.L,KIE.L,LRE.L,LMP.L,EMG.L,MARS.L,MRC.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OTB.L,PZC.L,PAY.L,PNN.L,PLI.L,PFC.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SXS.L,SPI.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TPK.L,TLW.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,JDW.L,WMH.L,WTAN.L,WIZZ.L,WPCT.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2015,"3IN.L,ASL.L,ACA.L,AGK.L,ATST.L,AO.L,ASHM.L,AUTO.L,AVV.L,BNKR.L,BHMG.L,BYG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CKN.L,CBG.L,CLI.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DPLM.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGT.L,FGP.L,FRCL.L,GFRD.L,GCP.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HFD.L,HAS.L,HSX.L,HSV.L,HWDN.L,HTG.L,IGG.L,IMI.L,IPO.L,INCH.L,INDV.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JLG.L,JUP.L,KAZ.L,KIE.L,LRE.L,LMP.L,EMG.L,MSLH.L,MARS.L,MRC.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OTB.L,PZC.L,PAY.L,PNN.L,PLI.L,PFC.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PMO.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SOPH.L,SXS.L,SPI.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TPK.L,TLW.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,WEIR.L,JDW.L,WMH.L,WTAN.L,WIZZ.L,WPCT.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2015,"3IN.L,ASL.L,ACA.L,AGK.L,ATST.L,AO.L,ASHM.L,AGR.L,AUTO.L,AVV.L,BNKR.L,BHMG.L,BYG.L,BTG.L,BAKK.L,BBY.L,BAG.L,BCA.L,BEZ.L,BWY.L,BOY.L,BVS.L,BTEM.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CKN.L,CBG.L,CLI.L,COB.L,CCC.L,CWK.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DPLM.L,DOM.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGT.L,FGP.L,FRCL.L,GFS.L,GFRD.L,GCP.L,GSS.L,GNS.L,GOG.L,GPOR.L,GFTU.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HFD.L,HVPE.L,HSTG.L,HAS.L,HSX.L,HSV.L,HWDN.L,IGG.L,IMI.L,IPO.L,IBST.L,INCH.L,INDV.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JLG.L,JUP.L,KIE.L,LRE.L,LMP.L,EMG.L,MSLH.L,MARS.L,MGGT.L,MRC.L,MCRO.L,MLC.L,MAB.L,MTO.L,MONY.L,MNKS.L,MGAM.L,MRW.L,MYI.L,NEX.L,NBLS.L,NMC.L,OCDO.L,OTB.L,PZC.L,PAY.L,PNN.L,PLI.L,PFC.L,PETS.L,PHNX.L,PTEC.L,PCT.L,PFG.L,QQ.L,RCP.L,RPC.L,RNK.L,RAT.L,RDW.L,TRIG.L,RSW.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SAFE.L,SAGA.L,SVS.L,SCIN.L,SNR.L,SRP.L,SHB.L,SOPH.L,SXS.L,SPI.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TPK.L,TLW.L,UDG.L,UKCM.L,ULE.L,UTG.L,VSVS.L,VCT.L,SMWH.L,WEIR.L,JDW.L,WMH.L,WTAN.L,WIZZ.L,WPCT.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/03/2016,"3IN.L,ASL.L,ACA.L,AGK.L,ATST.L,AO.L,ASHM.L,AUTO.L,AVV.L,BNKR.L,BHMG.L,BAKK.L,BBY.L,BBA.L,BAG.L,BCA.L,BEZ.L,BWY.L,BOY.L,BVS.L,BRW.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CBG.L,CLI.L,CCC.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGT.L,FGP.L,FRCL.L,GFS.L,GFRD.L,GCP.L,GSS.L,GOG.L,GPOR.L,GRI.L,GNC.L,GRG.L,HICL.L,HVPE.L,HIK.L,HSX.L,HSV.L,HWDN.L,IPO.L,INDV.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JLG.L,JUP.L,KAZ.L,KLR.L,KIE.L,LRE.L,LMP.L,EMG.L,MARS.L,MCS.L,MGGT.L,MRC.L,MCRO.L,MLC.L,MAB.L,MTO.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NCC.L,NMC.L,OTB.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PFC.L,PETS.L,PTEC.L,PCT.L,POLY.L,PLP.L,PFG.L,QQ.L,RCP.L,RPC.L,RAT.L,TRIG.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SVS.L,SCIN.L,SRP.L,SOPH.L,SCT.L,SXS.L,SPI.L,SPD.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TPK.L,BBOX.L,TLW.L,UDG.L,UKCM.L,VCT.L,VMUK.L,WEIR.L,WTAN.L,WIZZ.L,WPCT.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2016,"3IN.L,ASL.L,ACA.L,AGK.L,ATST.L,AO.L,ASCL.L,ASHM.L,AUTO.L,AVV.L,BNKR.L,BHMG.L,BAKK.L,BBY.L,BBA.L,BAG.L,BCA.L,BEZ.L,BWY.L,BOY.L,BVS.L,BRW.L,BVIC.L,CNE.L,CLDN.L,CPI.L,CARD.L,CEY.L,CINE.L,CTY.L,CBG.L,CLI.L,CMCX.L,CCC.L,CSP.L,CRST.L,DJAN.L,DCG.L,DPH.L,DLN.L,DRX.L,DNLM.L,EDIN.L,ECM.L,ELM.L,ETO.L,ESNT.L,ERM.L,FCPT.L,FEV.L,FSV.L,FGT.L,FGP.L,FRCL.L,GFS.L,GFRD.L,GCP.L,GSS.L,GOG.L,GPOR.L,GRI.L,GNC.L,GNK.L,GRG.L,HICL.L,HVPE.L,HILS.L,HSX.L,HSV.L,HWDN.L,IPO.L,INDV.L,ISAT.L,IHP.L,INPP.L,INVP.L,JD.L,JII.L,JAM.L,JLT.L,JLG.L,JUP.L,JE.L,KAZ.L,KLR.L,KIE.L,LRE.L,LMP.L,EMG.L,MCS.L,MGGT.L,MRC.L,MCRO.L,MLC.L,MAB.L,MTO.L,MNKS.L,MGAM.L,MYI.L,NEX.L,NBLS.L,NCC.L,NMC.L,OTB.L,PZC.L,PAY.L,PNN.L,PLI.L,PNL.L,PFC.L,PETS.L,PTEC.L,PCT.L,POLY.L,PLP.L,PFG.L,QQ.L,RCP.L,RPC.L,RAT.L,TRIG.L,RTN.L,RSE.L,ROR.L,SHI.L,SSPG.L,SVS.L,SCIN.L,SRP.L,SOPH.L,SCT.L,SXS.L,SPI.L,SPD.L,SGC.L,SMP.L,SYNT.L,TALK.L,TATE.L,TED.L,TEP.L,TMPL.L,TEM.L,TPK.L,BBOX.L,TLW.L,UDG.L,UKCM.L,VCT.L,VMUK.L,WEIR.L,WTAN.L,WIZZ.L,WPCT.L,WG.L,WKP.L,WWH.L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
